lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.30257294,12.34012657,222,10,,,33020,,14860319,,,140,19,,"2025-03-21 17:44:45.056Z",13,1,151,LTE,"OnePlus AC2003"
43.30236452,12.34008538,222,10,,,33020,,14860339,,,252,13,4,"2025-03-21 17:45:41.303Z",4,0,0,LTE,"OnePlus AC2003"
43.30257783,12.33962911,222,10,,,33020,,14860319,,,140,18,4,"2025-03-21 17:46:00.087Z",10,4,303,LTE,"OnePlus AC2003"
43.30286769,12.33911874,222,10,,,33020,,14860319,,,140,18,4,"2025-03-21 17:46:14.117Z",10,7,307,LTE,"OnePlus AC2003"
43.30291167,12.33904025,222,10,,,33020,,14860339,,,252,13,5,"2025-03-21 17:46:15.686Z",10,8,307,LTE,"OnePlus AC2003"
43.30314783,12.33856693,222,10,,,33020,,14860339,,,252,13,5,"2025-03-21 17:46:23.033Z",10,3,315,LTE,"OnePlus AC2003"
43.30316041,12.33853939,222,10,,,33020,,14860329,,,438,18,,"2025-03-21 17:46:25.823Z",10,1,310,LTE,"OnePlus AC2003"
43.30349789,12.33885933,222,10,,,33020,,14860329,,,438,18,,"2025-03-21 17:46:35.039Z",10,9,41,LTE,"OnePlus AC2003"
43.30382772,12.33927837,222,10,,,33020,,14860329,,,438,18,,"2025-03-21 17:46:41.042Z",10,7,43,LTE,"OnePlus AC2003"
43.30411534,12.33968029,222,10,,,33020,,14860329,,,438,13,,"2025-03-21 17:46:50.050Z",10,2,3,LTE,"OnePlus AC2003"
43.30438856,12.33926175,222,10,,,33020,,14860329,,,438,13,,"2025-03-21 17:46:56.039Z",10,10,303,LTE,"OnePlus AC2003"
43.30468143,12.33867786,222,10,,,33020,,14860329,,,438,13,,"2025-03-21 17:47:01.040Z",10,12,306,LTE,"OnePlus AC2003"
43.30493308,12.33820928,222,10,,,33020,,14860329,,,438,13,,"2025-03-21 17:47:05.047Z",10,12,307,LTE,"OnePlus AC2003"
43.30493308,12.33820928,222,10,,,33020,,14988586,,,91,14,,"2025-03-21 17:47:05.823Z",10,12,307,LTE,"OnePlus AC2003"
43.30517815,12.33773921,222,10,,,33020,,14988586,,,91,14,,"2025-03-21 17:47:09.048Z",10,11,307,LTE,"OnePlus AC2003"
43.30546519,12.33723401,222,10,,,33020,,14988586,,,91,14,,"2025-03-21 17:47:14.042Z",10,9,306,LTE,"OnePlus AC2003"
43.30572920,12.33676913,222,10,,,33020,,14988586,,,91,14,,"2025-03-21 17:47:19.049Z",10,9,307,LTE,"OnePlus AC2003"
43.30599255,12.33631970,222,10,,,33020,,14988586,,,91,14,,"2025-03-21 17:47:24.040Z",10,10,309,LTE,"OnePlus AC2003"
43.30627104,12.33586208,222,10,,,33020,,14988586,,,91,17,,"2025-03-21 17:47:29.042Z",10,10,311,LTE,"OnePlus AC2003"
43.30654285,12.33543179,222,10,,,33020,,14988586,,,91,17,,"2025-03-21 17:47:35.042Z",10,5,316,LTE,"OnePlus AC2003"
43.30687145,12.33507374,222,10,,,33020,,14988586,,,91,13,4,"2025-03-21 17:47:46.048Z",10,4,342,LTE,"OnePlus AC2003"
43.30712748,12.33499853,222,10,,,33020,,14988576,,,184,20,5,"2025-03-21 17:47:55.786Z",10,2,1,LTE,"OnePlus AC2003"
43.30755743,12.33481241,222,10,,,33020,,14988576,,,184,20,5,"2025-03-21 17:48:10.039Z",10,6,329,LTE,"OnePlus AC2003"
43.30795082,12.33463404,222,10,,,33020,,14988576,,,184,20,5,"2025-03-21 17:48:15.051Z",10,9,340,LTE,"OnePlus AC2003"
43.30837393,12.33452703,222,10,,,33020,,14988576,,,184,16,4,"2025-03-21 17:48:20.043Z",10,8,345,LTE,"OnePlus AC2003"
43.30868651,12.33442192,222,10,,,33020,,14988585,,,92,19,4,"2025-03-21 17:48:25.766Z",10,7,347,LTE,"OnePlus AC2003"
43.30910648,12.33427286,222,10,,,33020,,14988585,,,92,19,4,"2025-03-21 17:48:32.034Z",10,7,346,LTE,"OnePlus AC2003"
43.30951331,12.33406752,222,10,,,33020,,14988585,,,92,19,4,"2025-03-21 17:48:40.046Z",10,5,317,LTE,"OnePlus AC2003"
43.30941426,12.33350981,222,10,,,33020,,14988585,,,92,17,,"2025-03-21 17:49:06.049Z",10,8,237,LTE,"OnePlus AC2003"
43.30913914,12.33298361,222,10,,,33020,,14988585,,,92,17,,"2025-03-21 17:49:12.036Z",10,11,236,LTE,"OnePlus AC2003"
