lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.06283059,12.55094611,222,1,,,20301,,204852009,,,397,15,,"2025-04-06 10:06:16.188Z",17,0,0,LTE,"Xiaomi Redmi Note 7"
43.06283059,12.55094611,222,1,,,20301,,204852029,,,36,18,,"2025-04-06 10:06:25.931Z",39,0,0,LTE,"Xiaomi Redmi Note 7"
43.06261482,12.55100740,222,1,,,20301,,204852009,,,397,20,,"2025-04-06 10:08:38.754Z",19,0,0,LTE,"Xiaomi Redmi Note 7"
43.06220779,12.55074441,222,1,,,20301,,204852009,,,397,20,,"2025-04-06 10:08:48.135Z",5,4,243,LTE,"Xiaomi Redmi Note 7"
43.06225647,12.54985472,222,1,,,20301,,204852009,,,397,23,4,"2025-04-06 10:08:57.144Z",6,9,293,LTE,"Xiaomi Redmi Note 7"
43.06239561,12.54930540,222,1,,,20301,,204852009,,,397,23,4,"2025-04-06 10:09:02.177Z",6,9,291,LTE,"Xiaomi Redmi Note 7"
43.06251172,12.54872681,222,1,,,20301,,204852009,,,397,23,4,"2025-04-06 10:09:07.143Z",8,10,292,LTE,"Xiaomi Redmi Note 7"
43.06259142,12.54811005,222,1,,,20301,,204852009,,,397,29,4,"2025-04-06 10:09:12.339Z",6,10,290,LTE,"Xiaomi Redmi Note 7"
43.06280058,12.54757247,222,1,,,20301,,204852009,,,397,29,4,"2025-04-06 10:09:17.145Z",5,10,293,LTE,"Xiaomi Redmi Note 7"
43.06281348,12.54746718,222,1,,,20301,,205091874,,,101,18,,"2025-04-06 10:09:18.752Z",4,9,279,LTE,"Xiaomi Redmi Note 7"
43.06241242,12.54730270,222,1,,,20301,,205091874,,,101,18,,"2025-04-06 10:09:24.171Z",3,10,180,LTE,"Xiaomi Redmi Note 7"
43.06204571,12.54704278,222,1,,,20301,,205091874,,,101,18,,"2025-04-06 10:09:28.130Z",4,12,215,LTE,"Xiaomi Redmi Note 7"
43.06169333,12.54671141,222,1,,,20301,,205091874,,,101,18,,"2025-04-06 10:09:32.148Z",5,12,211,LTE,"Xiaomi Redmi Note 7"
43.06130079,12.54636447,222,1,,,20301,,205091874,,,101,18,,"2025-04-06 10:09:37.186Z",10,9,214,LTE,"Xiaomi Redmi Note 7"
43.06123573,12.54629216,222,1,,,20301,,204852009,,,397,31,,"2025-04-06 10:09:38.790Z",10,9,217,LTE,"Xiaomi Redmi Note 7"
43.06084641,12.54594695,222,1,,,20301,,204852009,,,397,31,,"2025-04-06 10:09:44.140Z",10,8,214,LTE,"Xiaomi Redmi Note 7"
43.06045048,12.54573552,222,1,,,20301,,204852009,,,397,31,,"2025-04-06 10:09:49.141Z",10,9,197,LTE,"Xiaomi Redmi Note 7"
43.06004364,12.54565515,222,1,,,20301,,204852009,,,397,31,,"2025-04-06 10:09:54.187Z",10,9,179,LTE,"Xiaomi Redmi Note 7"
43.05959206,12.54553696,222,1,,,20301,,204852009,,,397,29,,"2025-04-06 10:09:59.143Z",10,10,206,LTE,"Xiaomi Redmi Note 7"
