mcc,mnc,lac,cell_id,short_cell_id,rnc,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,discovered_at,device,rsrp,rsrq,rssi,rssnr,cqi,rscp,csi_rsrp,csi_rsrq,csi_sinr,ss_rsrp,ss_rsrq,ss_sinr,cdma_dbm,cdma_ecio,evdo_dbm,evdo_ecio,evdo_snr,ec_no,arfcn
222,10,33020,14987295,58544,31,77,26,-61,45,43.31124404,12.32813402,5.7,0,0,313.2,"2025-03-22T18:43:09.058Z",LTE,false,"2025-03-21T17:59:12.242Z","OnePlus AC2003",-97,-14,-61,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,28,-57,2,43.31141356,12.32785156,3.79,0.44,246.7,291.64,"2025-03-22T18:43:28.336Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-88,-10,-57,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,28,-57,2,43.31166119,12.32734880,3.79,8.15,303.3,292.15,"2025-03-22T18:43:38.051Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-88,-10,-57,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,28,-57,2,43.31174672,12.32677477,3.79,10.2,261,290.71,"2025-03-22T18:43:43.053Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-88,-10,-57,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,23,-67,3,43.31176516,12.32616164,3.79,7.21,309.4,291.13,"2025-03-22T18:43:49.049Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-98,-11,-67,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,23,-67,3,43.31217752,12.32589449,3.79,9.92,342.2,291.66,"2025-03-22T18:43:55.054Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-98,-11,-67,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,21,-71,4,43.31261472,12.32571431,3.79,10.3,341.5,292.41,"2025-03-22T18:44:00.048Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-106,-11,-71,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,21,-71,4,43.31302292,12.32554358,3.79,8.41,341.9,290.53,"2025-03-22T18:44:05.051Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-106,-11,-71,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,21,-71,4,43.31342345,12.32536885,3.79,10.16,343.1,291.69,"2025-03-22T18:44:10.045Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-106,-11,-71,,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,21,-71,4,43.31388391,12.32516702,3.79,12.01,343.1,292.28,"2025-03-22T18:44:15.050Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-106,-11,-71,,,,,,,,,,,,,,,,1850
222,10,33020,14877728,58116,32,103,23,-67,,43.31419026,12.32503281,3.79,12.24,342.6,293.29,"2025-03-22T18:44:18.342Z",LTE,false,"2025-03-22T18:44:18.342Z","OnePlus AC2003",-104,-15,-67,,,,,,,,,,,,,,,,1850
222,10,33020,14877728,58116,32,103,23,-67,,43.31460758,12.32486051,3.79,11.03,343.5,294.69,"2025-03-22T18:44:22.046Z",LTE,false,"2025-03-22T18:44:18.342Z","OnePlus AC2003",-104,-15,-67,,,,,,,,,,,,,,,,1850
222,10,33020,14877728,58116,32,103,23,-67,,43.31508868,12.32477367,3.79,10.59,10.6,294.86,"2025-03-22T18:44:27.053Z",LTE,false,"2025-03-22T18:44:18.342Z","OnePlus AC2003",-104,-15,-67,,,,,,,,,,,,,,,,1850
222,10,33020,14988595,58549,51,465,14,-85,,43.31517724,12.32479684,3.79,9.99,12.5,294.95,"2025-03-22T18:44:28.326Z",LTE,false,"2025-03-21T17:49:55.783Z","OnePlus AC2003",-117,-11,-85,,,,,,,,,,,,,,,,3025
222,10,33020,14988595,58549,51,465,14,-85,,43.31567826,12.32497096,3.79,13,13.2,295.76,"2025-03-22T18:44:33.058Z",LTE,false,"2025-03-21T17:49:55.783Z","OnePlus AC2003",-117,-11,-85,,,,,,,,,,,,,,,,3025
222,10,33020,14988595,58549,51,465,14,-85,,43.31614131,12.32513638,3.79,13.56,14.3,296.34,"2025-03-22T18:44:37.046Z",LTE,false,"2025-03-21T17:49:55.783Z","OnePlus AC2003",-117,-11,-85,,,,,,,,,,,,,,,,3025
222,10,33020,14988595,58549,51,465,14,-85,,43.31664109,12.32528865,3.79,14.41,9.7,296.4,"2025-03-22T18:44:41.046Z",LTE,false,"2025-03-21T17:49:55.783Z","OnePlus AC2003",-117,-11,-85,,,,,,,,,,,,,,,,3025
