lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.11565540,12.38527781,222,1,,,20101,,204814909,,,460,25,6,"2025-03-20 09:18:10.307Z",39,0,0,LTE,"Xiaomi Redmi Note 7"
43.11575222,12.38514790,222,1,,,20101,,204808235,,,280,21,4,"2025-03-20 09:18:14.783Z",19,0,0,LTE,"Xiaomi Redmi Note 7"
43.11593425,12.38461042,222,1,,,20101,,204808235,,,280,24,4,"2025-03-20 09:18:41.233Z",4,4,264,LTE,"Xiaomi Redmi Note 7"
43.11589626,12.38442999,222,1,,,20101,,204814889,,,267,25,5,"2025-03-20 09:18:44.580Z",4,3,224,LTE,"Xiaomi Redmi Note 7"
43.11565062,12.38491926,222,1,,,20101,,204814889,,,267,25,,"2025-03-20 09:19:02.252Z",3,7,84,LTE,"Xiaomi Redmi Note 7"
43.11566971,12.38509373,222,1,,,20101,,204814121,,,447,27,3,"2025-03-20 09:19:04.626Z",3,7,81,LTE,"Xiaomi Redmi Note 7"
43.11530902,12.38538242,222,1,,,20101,,204814121,,,447,24,,"2025-03-20 09:19:25.257Z",10,5,175,LTE,"Xiaomi Redmi Note 7"
43.11512920,12.38516216,222,1,,,20101,,204994091,,,502,22,3,"2025-03-20 09:19:34.631Z",10,5,267,LTE,"Xiaomi Redmi Note 7"
43.11509089,12.38453814,222,1,,,20101,,204994091,,,502,22,3,"2025-03-20 09:19:41.235Z",10,7,260,LTE,"Xiaomi Redmi Note 7"
43.11504485,12.38391650,222,1,,,20101,,204994091,,,502,22,,"2025-03-20 09:20:19.252Z",10,6,262,LTE,"Xiaomi Redmi Note 7"
43.11495940,12.38347957,222,1,,,20101,,204814889,,,267,24,4,"2025-03-20 09:20:24.581Z",10,7,235,LTE,"Xiaomi Redmi Note 7"
43.11474818,12.38291193,222,1,,,20101,,204814889,,,267,24,4,"2025-03-20 09:20:30.231Z",10,9,251,LTE,"Xiaomi Redmi Note 7"
43.11459638,12.38231787,222,1,,,20101,,204814889,,,267,29,4,"2025-03-20 09:20:35.233Z",10,11,251,LTE,"Xiaomi Redmi Note 7"
43.11451352,12.38176291,222,1,,,20101,,204814889,,,267,29,4,"2025-03-20 09:20:39.238Z",10,11,258,LTE,"Xiaomi Redmi Note 7"
43.11436158,12.38112172,222,1,,,20101,,204814889,,,267,29,4,"2025-03-20 09:20:44.235Z",10,10,246,LTE,"Xiaomi Redmi Note 7"
43.11393650,12.38090097,222,1,,,20101,,204814889,,,267,31,4,"2025-03-20 09:20:50.231Z",10,9,166,LTE,"Xiaomi Redmi Note 7"
43.11366796,12.38111966,222,1,,,20101,,204808233,,,279,31,1,"2025-03-20 09:20:54.563Z",10,9,144,LTE,"Xiaomi Redmi Note 7"
43.11341674,12.38159028,222,1,,,20101,,204808233,,,279,31,1,"2025-03-20 09:20:59.235Z",10,10,115,LTE,"Xiaomi Redmi Note 7"
43.11317640,12.38215647,222,1,,,20101,,204808233,,,279,31,1,"2025-03-20 09:21:04.249Z",10,11,126,LTE,"Xiaomi Redmi Note 7"
43.11274900,12.38247387,222,1,,,20101,,204808233,,,279,30,2,"2025-03-20 09:21:09.240Z",10,11,168,LTE,"Xiaomi Redmi Note 7"
43.11229071,12.38246321,222,1,,,20101,,204808233,,,279,30,2,"2025-03-20 09:21:14.238Z",10,10,185,LTE,"Xiaomi Redmi Note 7"
43.11184510,12.38267735,222,1,,,20101,,204808233,,,279,31,2,"2025-03-20 09:21:20.246Z",10,9,140,LTE,"Xiaomi Redmi Note 7"
43.11153933,12.38311348,222,1,,,20101,,204808233,,,279,27,3,"2025-03-20 09:21:25.264Z",10,10,122,LTE,"Xiaomi Redmi Note 7"
43.11141488,12.38369931,222,1,,,20101,,204808233,,,279,27,3,"2025-03-20 09:21:30.234Z",10,11,104,LTE,"Xiaomi Redmi Note 7"
43.11130706,12.38421064,222,1,,,20101,,204947243,,,293,26,,"2025-03-20 09:21:34.640Z",10,11,108,LTE,"Xiaomi Redmi Note 7"
43.11116733,12.38475337,222,1,,,20101,,204947243,,,293,26,,"2025-03-20 09:21:38.242Z",10,12,110,LTE,"Xiaomi Redmi Note 7"
43.11100983,12.38529088,222,1,,,20101,,204947243,,,293,26,,"2025-03-20 09:21:42.265Z",10,11,114,LTE,"Xiaomi Redmi Note 7"
43.11074255,12.38579046,222,1,,,20101,,204947243,,,293,21,3,"2025-03-20 09:21:48.233Z",10,6,149,LTE,"Xiaomi Redmi Note 7"
43.11059098,12.38604169,222,1,,,20103,,204815903,,,457,22,21,"2025-03-20 09:21:54.710Z",10,5,77,LTE,"Xiaomi Redmi Note 7"
43.11063759,12.38670275,222,1,,,20103,,204815903,,,457,22,21,"2025-03-20 09:22:01.239Z",11,9,92,LTE,"Xiaomi Redmi Note 7"
43.11062899,12.38705820,222,1,,,20103,,204815913,,,173,14,21,"2025-03-20 09:22:04.611Z",21,10,92,LTE,"Xiaomi Redmi Note 7"
43.11071731,12.39078270,222,1,,,20101,,205309225,,,428,28,5,"2025-03-20 09:22:57.273Z",15,3,101,LTE,"Xiaomi Redmi Note 7"
43.11088741,12.39133469,222,1,,,20101,,205309225,,,428,27,4,"2025-03-20 09:23:12.251Z",5,5,102,LTE,"Xiaomi Redmi Note 7"
43.11047343,12.39132127,222,1,,,20101,,205309225,,,428,28,4,"2025-03-20 09:23:21.259Z",6,8,202,LTE,"Xiaomi Redmi Note 7"
43.11009500,12.39154760,222,1,,,20101,,205309225,,,428,31,4,"2025-03-20 09:23:32.238Z",3,8,70,LTE,"Xiaomi Redmi Note 7"
43.11035715,12.39207353,222,1,,,20101,,205309225,,,428,31,3,"2025-03-20 09:23:38.245Z",3,8,56,LTE,"Xiaomi Redmi Note 7"
43.11066803,12.39246223,222,1,,,20101,,205309225,,,428,31,3,"2025-03-20 09:23:44.239Z",3,8,33,LTE,"Xiaomi Redmi Note 7"
43.11103304,12.39287452,222,1,,,20101,,205309225,,,428,31,3,"2025-03-20 09:23:50.237Z",3,9,43,LTE,"Xiaomi Redmi Note 7"
43.11138582,12.39332794,222,1,,,20101,,205309225,,,428,31,4,"2025-03-20 09:23:56.241Z",3,9,43,LTE,"Xiaomi Redmi Note 7"
43.11170069,12.39371835,222,1,,,20101,,205309225,,,428,31,4,"2025-03-20 09:24:01.239Z",10,9,41,LTE,"Xiaomi Redmi Note 7"
43.11203638,12.39411804,222,1,,,20101,,205309225,,,428,31,4,"2025-03-20 09:24:07.262Z",10,7,39,LTE,"Xiaomi Redmi Note 7"
43.11243617,12.39428968,222,1,,,20101,,205309225,,,428,31,4,"2025-03-20 09:24:14.232Z",10,8,0,LTE,"Xiaomi Redmi Note 7"
43.11243617,12.39428968,222,1,,,20101,,204817706,,,248,31,3,"2025-03-20 09:24:14.675Z",10,8,0,LTE,"Xiaomi Redmi Note 7"
43.11286712,12.39426411,222,1,,,20101,,204817706,,,248,31,3,"2025-03-20 09:24:19.237Z",10,10,358,LTE,"Xiaomi Redmi Note 7"
43.11332387,12.39412830,222,1,,,20101,,204817706,,,248,31,3,"2025-03-20 09:24:24.238Z",10,11,331,LTE,"Xiaomi Redmi Note 7"
43.11369868,12.39389711,222,1,,,20101,,204817706,,,248,30,2,"2025-03-20 09:24:29.265Z",10,7,5,LTE,"Xiaomi Redmi Note 7"
43.11391081,12.39423073,222,1,,,20101,,204810026,,,161,31,1,"2025-03-20 09:24:34.688Z",10,9,59,LTE,"Xiaomi Redmi Note 7"
43.11421460,12.39474641,222,1,,,20101,,204810026,,,161,31,1,"2025-03-20 09:24:39.238Z",10,11,49,LTE,"Xiaomi Redmi Note 7"
43.11450343,12.39519519,222,1,,,20101,,204810026,,,161,31,1,"2025-03-20 09:24:43.241Z",10,13,49,LTE,"Xiaomi Redmi Note 7"
43.11458244,12.39531693,222,1,,,20101,,204817706,,,248,31,2,"2025-03-20 09:24:44.661Z",10,13,50,LTE,"Xiaomi Redmi Note 7"
43.11490935,12.39583732,222,1,,,20101,,204817706,,,248,31,2,"2025-03-20 09:24:48.236Z",10,14,49,LTE,"Xiaomi Redmi Note 7"
43.11523371,12.39636619,222,1,,,20101,,204817706,,,248,31,2,"2025-03-20 09:24:52.239Z",10,14,48,LTE,"Xiaomi Redmi Note 7"
43.11545376,12.39690140,222,1,,,20101,,204817706,,,248,31,1,"2025-03-20 09:24:56.249Z",10,12,81,LTE,"Xiaomi Redmi Note 7"
43.11536789,12.39750439,222,1,,,20101,,204817706,,,248,31,1,"2025-03-20 09:25:00.238Z",10,13,112,LTE,"Xiaomi Redmi Note 7"
43.11514394,12.39814399,222,1,,,20101,,204817706,,,248,31,1,"2025-03-20 09:25:04.288Z",10,14,116,LTE,"Xiaomi Redmi Note 7"
43.11494585,12.39867506,222,1,,,20101,,204817706,,,248,31,1,"2025-03-20 09:25:08.247Z",10,6,117,LTE,"Xiaomi Redmi Note 7"
43.11487927,12.39885676,222,1,,,20101,,204817705,,,246,31,1,"2025-03-20 09:25:14.681Z",10,3,123,LTE,"Xiaomi Redmi Note 7"
43.11488203,12.39943103,222,1,,,20101,,204817705,,,246,31,1,"2025-03-20 09:25:25.260Z",10,6,32,LTE,"Xiaomi Redmi Note 7"
43.11527533,12.39968015,222,1,,,20101,,204817705,,,246,31,1,"2025-03-20 09:25:35.244Z",10,3,17,LTE,"Xiaomi Redmi Note 7"
43.11562939,12.40002396,222,1,,,20101,,204817705,,,246,31,1,"2025-03-20 09:25:42.245Z",10,9,48,LTE,"Xiaomi Redmi Note 7"
43.11573885,12.40021695,222,1,,,20509,,205152298,,,143,29,5,"2025-03-20 09:25:44.656Z",10,10,54,LTE,"Xiaomi Redmi Note 7"
43.11603234,12.40072646,222,1,,,20509,,205152298,,,143,29,5,"2025-03-20 09:25:49.245Z",10,11,48,LTE,"Xiaomi Redmi Note 7"
43.11635427,12.40111963,222,1,,,20509,,205152298,,,143,29,5,"2025-03-20 09:25:53.236Z",10,13,37,LTE,"Xiaomi Redmi Note 7"
