lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.05828812,12.54429442,222,1,,,20301,,204852011,,,398,29,1,"2025-04-09 09:43:55.684Z",3,0,0,LTE,"Xiaomi Redmi Note 7"
43.05843894,12.54504129,222,1,,,20301,,204852011,,,398,30,,"2025-04-09 09:52:39.659Z",10,8,44,LTE,"Xiaomi Redmi Note 7"
43.05885819,12.54538768,222,1,,,20301,,204852011,,,398,30,,"2025-04-09 09:52:45.656Z",10,10,33,LTE,"Xiaomi Redmi Note 7"
43.05921452,12.54574427,222,1,,,20301,,204852011,,,398,30,0,"2025-04-09 09:52:50.648Z",10,10,47,LTE,"Xiaomi Redmi Note 7"
43.05963265,12.54593652,222,1,,,20301,,204852011,,,398,30,0,"2025-04-09 09:52:55.658Z",10,9,335,LTE,"Xiaomi Redmi Note 7"
43.06003582,12.54575205,222,1,,,20301,,204852011,,,398,30,0,"2025-04-09 09:52:59.651Z",11,11,359,LTE,"Xiaomi Redmi Note 7"
43.06051475,12.54582931,222,1,,,20301,,204852011,,,398,30,0,"2025-04-09 09:53:03.689Z",10,14,19,LTE,"Xiaomi Redmi Note 7"
43.06089437,12.54609320,222,1,,,20301,,204852011,,,398,30,0,"2025-04-09 09:53:07.639Z",10,12,33,LTE,"Xiaomi Redmi Note 7"
43.06100064,12.54618499,222,1,,,20301,,204852009,,,397,31,,"2025-04-09 09:53:08.805Z",10,12,34,LTE,"Xiaomi Redmi Note 7"
43.06134613,12.54649453,222,1,,,20301,,204852009,,,397,31,,"2025-04-09 09:53:12.660Z",10,11,32,LTE,"Xiaomi Redmi Note 7"
43.06172035,12.54679179,222,1,,,20301,,204852009,,,397,31,,"2025-04-09 09:53:16.644Z",10,12,32,LTE,"Xiaomi Redmi Note 7"
43.06211833,12.54713314,222,1,,,20301,,204852009,,,397,31,,"2025-04-09 09:53:20.662Z",10,13,31,LTE,"Xiaomi Redmi Note 7"
43.06248313,12.54739892,222,1,,,20301,,204852009,,,397,31,,"2025-04-09 09:53:23.673Z",11,14,35,LTE,"Xiaomi Redmi Note 7"
43.06257916,12.54798775,222,1,,,20301,,204852009,,,397,28,4,"2025-04-09 09:53:35.677Z",10,7,73,LTE,"Xiaomi Redmi Note 7"
43.06246259,12.54860788,222,1,,,20301,,204852009,,,397,29,,"2025-04-09 09:53:41.737Z",10,10,110,LTE,"Xiaomi Redmi Note 7"
