lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.02697727,12.58765314,222,1,,,20301,,205163817,,,380,21,22,"2025-04-19 08:47:37.729Z",5,0,0,LTE,"Xiaomi Redmi Note 7"
43.02702422,12.58771090,222,1,,,20301,,205163837,,,200,23,,"2025-04-19 08:48:11.802Z",8,0,0,LTE,"Xiaomi Redmi Note 7"
43.02717994,12.58772394,222,1,,,20301,,205163807,,,25,18,22,"2025-04-19 08:55:55.248Z",10,0,0,LTE,"Xiaomi Redmi Note 7"
43.02718093,12.58771671,222,1,,,20301,,205163817,,,380,21,22,"2025-04-19 08:56:35.330Z",10,0,0,LTE,"Xiaomi Redmi Note 7"
43.02718264,12.58771612,222,1,,,20301,,205163807,,,25,18,,"2025-04-19 08:59:45.368Z",10,0,0,LTE,"Xiaomi Redmi Note 7"
43.02718547,12.58771620,222,1,,,20301,,205163837,,,200,13,,"2025-04-19 09:01:45.371Z",12,0,0,LTE,"Xiaomi Redmi Note 7"
43.02729339,12.58794018,222,1,,,20301,,205163817,,,380,18,,"2025-04-19 09:02:25.384Z",10,2,93,LTE,"Xiaomi Redmi Note 7"
43.02740334,12.58794411,222,1,,,20301,,205163807,,,25,18,,"2025-04-19 09:02:35.387Z",12,2,185,LTE,"Xiaomi Redmi Note 7"
43.02778974,12.58773660,222,1,,,20301,,205163807,,,25,17,,"2025-04-19 09:02:53.692Z",6,2,83,LTE,"Xiaomi Redmi Note 7"
43.02797232,12.58774995,222,1,,,20301,,205163817,,,380,17,22,"2025-04-19 09:03:25.398Z",14,2,32,LTE,"Xiaomi Redmi Note 7"
43.02838648,12.58786401,222,1,,,20301,,205163817,,,380,17,22,"2025-04-19 09:03:37.711Z",30,5,326,LTE,"Xiaomi Redmi Note 7"
43.02912362,12.58758361,222,1,,,20301,,205163817,,,380,17,22,"2025-04-19 09:03:41.704Z",26,0,0,LTE,"Xiaomi Redmi Note 7"
43.02907205,12.58693387,222,1,,,20301,,205163817,,,380,18,24,"2025-04-19 09:03:46.707Z",33,0,0,LTE,"Xiaomi Redmi Note 7"
43.02963221,12.58669882,222,1,,,20301,,205163817,,,380,18,24,"2025-04-19 09:03:48.708Z",26,16,302,LTE,"Xiaomi Redmi Note 7"
43.02989955,12.58610730,222,1,,,20301,,205163817,,,380,18,24,"2025-04-19 09:03:52.722Z",15,15,292,LTE,"Xiaomi Redmi Note 7"
43.02994381,12.58594667,222,1,,,20301,,205163807,,,25,19,24,"2025-04-19 09:03:55.409Z",15,15,292,LTE,"Xiaomi Redmi Note 7"
43.03052844,12.58467365,222,1,,,20301,,205163807,,,25,19,24,"2025-04-19 09:04:05.714Z",15,10,313,LTE,"Xiaomi Redmi Note 7"
43.03083344,12.58409971,222,1,,,20301,,205163807,,,25,19,24,"2025-04-19 09:04:12.697Z",12,10,305,LTE,"Xiaomi Redmi Note 7"
43.03092303,12.58390419,222,1,,,20301,,205163817,,,380,15,25,"2025-04-19 09:04:15.412Z",12,10,309,LTE,"Xiaomi Redmi Note 7"
43.03124355,12.58342059,222,1,,,20301,,205163817,,,380,15,25,"2025-04-19 09:04:19.708Z",12,10,308,LTE,"Xiaomi Redmi Note 7"
43.03143549,12.58281365,222,1,,,20301,,205163817,,,380,14,25,"2025-04-19 09:04:25.696Z",12,9,291,LTE,"Xiaomi Redmi Note 7"
43.03177539,12.58243713,222,1,,,20301,,205163817,,,380,14,25,"2025-04-19 09:04:35.700Z",39,5,336,LTE,"Xiaomi Redmi Note 7"
43.03207975,12.58281291,222,1,,,20301,,205163817,,,380,14,25,"2025-04-19 09:04:42.705Z",30,8,25,LTE,"Xiaomi Redmi Note 7"
43.03227015,12.58292851,222,1,,,20301,,53431082,,,132,14,17,"2025-04-19 09:04:45.377Z",30,9,24,LTE,"Xiaomi Redmi Note 7"
43.03269802,12.58311398,222,1,,,20301,,53431082,,,132,14,17,"2025-04-19 09:04:48.676Z",26,9,21,LTE,"Xiaomi Redmi Note 7"
43.03318272,12.58325165,222,1,,,20301,,53431082,,,132,14,17,"2025-04-19 09:04:53.691Z",31,10,12,LTE,"Xiaomi Redmi Note 7"
43.03346021,12.58327373,222,1,,,20301,,205194538,,,229,20,31,"2025-04-19 09:05:25.712Z",39,2,323,LTE,"Xiaomi Redmi Note 7"
43.03387268,12.58308390,222,1,,,20301,,205194538,,,229,20,31,"2025-04-19 09:05:26.740Z",36,2,341,LTE,"Xiaomi Redmi Note 7"
43.03457066,12.58318627,222,1,,,20301,,205194538,,,229,20,31,"2025-04-19 09:05:31.708Z",24,3,341,LTE,"Xiaomi Redmi Note 7"
43.03571042,12.58264753,222,1,,,20301,,205194538,,,229,20,31,"2025-04-19 09:05:33.692Z",19,9,306,LTE,"Xiaomi Redmi Note 7"
43.03574517,12.58196181,222,1,,,20301,,205194538,,,229,22,31,"2025-04-19 09:05:37.735Z",15,9,236,LTE,"Xiaomi Redmi Note 7"
43.03566122,12.58134788,222,1,,,20301,,205194538,,,229,22,31,"2025-04-19 09:05:43.727Z",13,8,286,LTE,"Xiaomi Redmi Note 7"
43.03569703,12.58125353,222,1,,,20301,,205163817,,,380,18,,"2025-04-19 09:05:45.452Z",13,9,290,LTE,"Xiaomi Redmi Note 7"
43.03590107,12.58070162,222,1,,,20301,,205163817,,,380,18,,"2025-04-19 09:05:48.696Z",13,10,300,LTE,"Xiaomi Redmi Note 7"
43.03610631,12.58010654,222,1,,,20301,,205163817,,,380,18,,"2025-04-19 09:05:53.693Z",13,9,297,LTE,"Xiaomi Redmi Note 7"
43.03615154,12.57948622,222,1,,,20301,,205163817,,,380,18,,"2025-04-19 09:05:59.873Z",13,9,290,LTE,"Xiaomi Redmi Note 7"
43.03641468,12.57898315,222,1,,,20301,,205163817,,,380,18,,"2025-04-19 09:06:04.699Z",12,10,313,LTE,"Xiaomi Redmi Note 7"
43.03641468,12.57898315,222,1,,,20301,,205091883,,,59,26,11,"2025-04-19 09:06:05.408Z",12,10,313,LTE,"Xiaomi Redmi Note 7"
43.03665806,12.57850116,222,1,,,20301,,205091883,,,59,26,11,"2025-04-19 09:06:08.694Z",11,10,309,LTE,"Xiaomi Redmi Note 7"
43.03702773,12.57804137,222,1,,,20301,,205091883,,,59,26,11,"2025-04-19 09:06:14.696Z",12,10,331,LTE,"Xiaomi Redmi Note 7"
43.03702773,12.57804137,222,1,,,20301,,53431082,,,132,21,14,"2025-04-19 09:06:15.431Z",12,10,331,LTE,"Xiaomi Redmi Note 7"
43.03743876,12.57798394,222,1,,,20301,,53431082,,,132,21,14,"2025-04-19 09:06:19.700Z",12,9,359,LTE,"Xiaomi Redmi Note 7"
43.03781201,12.57763357,222,1,,,20301,,53431082,,,132,21,14,"2025-04-19 09:06:24.761Z",12,10,314,LTE,"Xiaomi Redmi Note 7"
43.03805898,12.57707856,222,1,,,20301,,53431082,,,132,21,14,"2025-04-19 09:06:29.693Z",12,10,292,LTE,"Xiaomi Redmi Note 7"
43.03809968,12.57641617,222,1,,,20301,,53431082,,,132,21,14,"2025-04-19 09:06:34.700Z",12,11,281,LTE,"Xiaomi Redmi Note 7"
43.03809968,12.57641617,222,1,,,20301,,205091883,,,59,29,9,"2025-04-19 09:06:35.421Z",12,11,281,LTE,"Xiaomi Redmi Note 7"
