mcc,mnc,lac,cell_id,short_cell_id,rnc,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,discovered_at,device,rsrp,rsrq,rssi,rssnr,cqi,rscp,csi_rsrp,csi_rsrq,csi_sinr,ss_rsrp,ss_rsrq,ss_sinr,cdma_dbm,cdma_ecio,evdo_dbm,evdo_ecio,evdo_snr,ec_no,arfcn
222,1,20301,204852009,800203,41,397,19,-75,,43.06294877,12.55097764,11.79,0,0,241.22,"2025-04-03T15:12:45.132Z",LTE,false,"2025-03-19T17:29:45.323Z","Xiaomi Redmi Note 7",-112,-16,-75,22,,,,,,,,,,,,,,,1350
222,1,20301,204852029,800203,61,36,16,-81,,43.06283833,12.55119035,24.66,0.78,161.8,255.9,"2025-04-03T15:13:42.417Z",LTE,false,"2025-03-19T17:44:17.329Z","Xiaomi Redmi Note 7",-113,-14,-81,,,,,,,,,,,,,,,,6300
222,1,20301,204852009,800203,41,397,13,-87,5,43.06283308,12.55119163,28.94,0,0,241.26,"2025-04-03T15:13:53.636Z",LTE,false,"2025-03-19T17:29:45.323Z","Xiaomi Redmi Note 7",-122,-15,-87,22,,,,,,,,,,,,,,,1350
222,1,25306,36649,,,,5,-103,0,43.06278341,12.55095138,19.3,0,0,259.57,"2025-04-03T15:17:12.161Z",GSM,false,"2025-03-20T11:40:44.212Z","Xiaomi Redmi Note 7",,,-103,,,,,,,,,,,,,,,,18
222,1,25306,35362,,,,3,-107,,43.06278341,12.55095138,19.3,0,0,259.57,"2025-04-03T15:17:12.161Z",GSM,true,"2025-03-20T11:41:07.214Z","Xiaomi Redmi Note 7",,,-107,,,,,,,,,,,,,,,,2
222,1,25306,20696,,,,3,-107,,43.06278341,12.55095138,19.3,0,0,259.57,"2025-04-03T15:17:12.161Z",GSM,true,"2025-03-20T11:40:44.212Z","Xiaomi Redmi Note 7",,,-107,,,,,,,,,,,,,,,,1021
222,1,20301,204852009,800203,41,397,16,-81,5,43.06278346,12.55095155,10.72,0,0,241.39,"2025-04-03T15:17:23.330Z",LTE,false,"2025-03-19T17:29:45.323Z","Xiaomi Redmi Note 7",-117,-15,-81,,,,,,,,,,,,,,,,1350
222,1,20301,53431071,208715,31,489,16,-81,,43.06262449,12.55093408,4.29,1.86,198.1,257.05,"2025-04-03T15:17:43.358Z",LTE,false,"2025-03-19T17:51:43.988Z","Xiaomi Redmi Note 7",-113,-13,-81,,,,,,,,,,,,,,,,275
222,1,20301,53431071,208715,31,489,16,-81,,43.06208461,12.55061080,4.29,6.1,243.9,254.77,"2025-04-03T15:17:48.120Z",LTE,false,"2025-03-19T17:51:43.988Z","Xiaomi Redmi Note 7",-113,-13,-81,,,,,,,,,,,,,,,,275
222,1,20301,53431071,208715,31,489,16,-81,,43.06223802,12.55000074,3.22,7.89,290.5,251.08,"2025-04-03T15:17:55.125Z",LTE,false,"2025-03-19T17:51:43.988Z","Xiaomi Redmi Note 7",-113,-13,-81,,,,,,,,,,,,,,,,275
