lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.06246692,12.55099230,222,1,,25306,,,36649,,,,3,0,"2025-04-11 10:05:46.330Z",24,0,0,GSM,"Xiaomi Redmi Note 7"
43.06246692,12.55099230,222,1,,25306,,,340,,,,5,,"2025-04-11 10:05:46.330Z",24,0,0,GSM,"Xiaomi Redmi Note 7"
43.06246692,12.55099230,222,1,,25306,,,35362,,,,6,,"2025-04-11 10:05:46.330Z",24,0,0,GSM,"Xiaomi Redmi Note 7"
43.06246692,12.55099230,222,1,,25306,,,20696,,,,6,,"2025-04-11 10:05:46.330Z",24,0,0,GSM,"Xiaomi Redmi Note 7"
43.06243478,12.55096064,222,1,,,20301,,204852009,,,397,21,5,"2025-04-11 10:05:47.810Z",14,0,0,LTE,"Xiaomi Redmi Note 7"
43.06207633,12.55062494,222,1,,,20301,,204852009,,,397,21,5,"2025-04-11 10:05:55.226Z",5,6,244,LTE,"Xiaomi Redmi Note 7"
43.06218082,12.54998442,222,1,,,20301,,204852009,,,397,26,4,"2025-04-11 10:06:02.247Z",4,9,292,LTE,"Xiaomi Redmi Note 7"
43.06232399,12.54943321,222,1,,,20301,,204852009,,,397,26,4,"2025-04-11 10:06:07.286Z",5,9,290,LTE,"Xiaomi Redmi Note 7"
43.06232399,12.54943321,222,1,,,20301,,204852029,,,36,30,,"2025-04-11 10:06:07.896Z",5,9,290,LTE,"Xiaomi Redmi Note 7"
43.06247699,12.54882220,222,1,,,20301,,204852029,,,36,30,,"2025-04-11 10:06:12.259Z",8,10,287,LTE,"Xiaomi Redmi Note 7"
43.06262539,12.54827018,222,1,,,20301,,204852029,,,36,30,,"2025-04-11 10:06:17.234Z",5,9,292,LTE,"Xiaomi Redmi Note 7"
43.06279600,12.54772856,222,1,,,20301,,204852029,,,36,30,,"2025-04-11 10:06:24.244Z",4,6,312,LTE,"Xiaomi Redmi Note 7"
43.06249975,12.54729305,222,1,,,20301,,204852029,,,36,26,4,"2025-04-11 10:06:34.230Z",5,9,175,LTE,"Xiaomi Redmi Note 7"
43.06203728,12.54699680,222,1,,,20301,,204852029,,,36,26,4,"2025-04-11 10:06:39.246Z",5,12,214,LTE,"Xiaomi Redmi Note 7"
43.06168238,12.54662980,222,1,,,20301,,204852029,,,36,26,4,"2025-04-11 10:06:43.265Z",12,12,217,LTE,"Xiaomi Redmi Note 7"
43.06135633,12.54636225,222,1,,,20301,,204852009,,,397,27,,"2025-04-11 10:06:47.852Z",12,9,217,LTE,"Xiaomi Redmi Note 7"
43.06096223,12.54608026,222,1,,,20301,,204852009,,,397,27,,"2025-04-11 10:06:52.253Z",11,9,212,LTE,"Xiaomi Redmi Note 7"
43.06056817,12.54576926,222,1,,,20301,,204852009,,,397,27,,"2025-04-11 10:06:58.254Z",11,9,202,LTE,"Xiaomi Redmi Note 7"
43.06007290,12.54569599,222,1,,,20301,,204852009,,,397,27,,"2025-04-11 10:07:03.251Z",11,9,179,LTE,"Xiaomi Redmi Note 7"
43.05964361,12.54559813,222,1,,,20301,,204852009,,,397,29,,"2025-04-11 10:07:08.258Z",11,10,206,LTE,"Xiaomi Redmi Note 7"
43.05921419,12.54553206,222,1,,,20301,,204852009,,,397,29,,"2025-04-11 10:07:13.268Z",10,10,173,LTE,"Xiaomi Redmi Note 7"
43.05883312,12.54530949,222,1,,,20301,,204852009,,,397,29,,"2025-04-11 10:07:18.265Z",10,9,218,LTE,"Xiaomi Redmi Note 7"
43.05848870,12.54496941,222,1,,,20301,,204852009,,,397,29,,"2025-04-11 10:07:23.228Z",10,9,215,LTE,"Xiaomi Redmi Note 7"
43.05821882,12.54471691,222,1,,,20301,,204852011,,,398,29,1,"2025-04-11 10:07:27.873Z",10,10,211,LTE,"Xiaomi Redmi Note 7"
43.05783744,12.54443996,222,1,,,20301,,204852011,,,398,29,1,"2025-04-11 10:07:32.260Z",10,10,206,LTE,"Xiaomi Redmi Note 7"
